<ticker>,<per>,<date>,<time>,<open>,<high>,<low>,<close>,<vol>
AABVF,D,20180111,0.1394,0.1424,0.1394,0.1424,900
AACAF,D,20180111,18.89,18.8972,18.89,18.8972,2100
AACAY,D,20180111,189.0101,193.37,189.0101,193.215,3600
AACS,D,20180111,0.0013,0.0013,0.0013,0.0013,10000
AACTF,D,20180111,0.2034,0.2269,0.2034,0.2269,7500
AAGC,D,20180111,0.0001,0.0001,0.0001,0.0001,2100000
AAGH,D,20180111,0.0018,0.0018,0.0018,0.0018,0
AAGIY,D,20180111,34.56,34.56,33.855,34.4,202900
AAIGF,D,20180111,8.44,8.6,8.4,8.55,28000
AAIIQ,D,20180111,0.1012,0.1012,0.1012,0.1012,0
AAIR,D,20180111,0.0011,0.0011,0.0011,0.0011,0
AAMAF,D,20180111,2.48,2.48,2.48,2.48,0
AAMTF,D,20180111,0.305,0.305,0.305,0.305,0
AAPH,D,20180111,0.0006,0.0007,0.0006,0.0007,201600
AAPJ,D,20180111,0.0137,0.0149,0.013,0.013,25000
AAPT,D,20180111,0.0002,0.0003,0.0001,0.0002,148245200
AASP,D,20180111,0.72,0.7201,0.66,0.66,14900
AAST,D,20180111,0.0035,0.0035,0.0035,0.0035,0
AATDF,D,20180111,2.2,2.2,2.1,2.1,22300
AATRL,D,20180111,64.12,64.12,64.12,64.12,0
AAUKF,D,20180111,23.51,23.51,23.51,23.51,3900
AAVXF,D,20180111,10.74,10.74,10.74,10.74,400
AAWC,D,20180111,0.0013,0.0013,0.0013,0.0013,0
ABBB,D,20180111,12.5,12.5,12.5,12.5,0
ABBRF,D,20180111,0.1976,0.1976,0.1976,0.1976,10000
ABBY,D,20180111,0.0035,0.0035,0.0035,0.0035,11400
ABCAF,D,20180111,0.1042,0.1042,0.1042,0.1042,0
ABCCF,D,20180111,2.24,2.288,1.86,2.0023,1744400
ABCE,D,20180111,0.0029,0.0029,0.0029,0.0029,0
ABCFF,D,20180111,0.2262,0.235,0.215,0.2177,89400
ABCP,D,20180111,0.2932,0.2932,0.29,0.29,500
ABCZF,D,20180111,15.125,15.25,15,15,10300
ABCZY,D,20180111,15.54,15.54,15.54,15.54,200
ABEPF,D,20180111,0.5505,0.5505,0.5505,0.5505,0
ABGLF,D,20180111,2.65,2.65,2.65,2.65,0
ABGOY,D,20180111,0.33,0.33,0.33,0.33,0
ABHD,D,20180111,0.0161,0.0161,0.0145,0.0145,98000
ABLZF,D,20180111,27.605,27.605,27.605,27.605,0
ABMBF,D,20180111,0.0544,0.0544,0.0544,0.0544,0
ABMC,D,20180111,0.11,0.11,0.11,0.11,0
ABMT,D,20180111,0.18,0.18,0.18,0.18,2000
ABNAF,D,20180111,0.1407,0.1407,0.1303,0.1303,75300
ABNK,D,20180111,12.74,12.74,12.74,12.74,0
ABNRY,D,20180111,16.82,16.87,16.77,16.78,113100
ABPA,D,20180111,0.003,0.003,0.003,0.003,0
ABPR,D,20180111,0.0002,0.0002,0.0002,0.0002,1000
ABRTY,D,20180111,11.22,11.22,11.22,11.22,400
ABSSF,D,20180111,8.2201,8.2201,8.2201,8.2201,1000
ABTO,D,20180111,0.62,0.848,0.62,0.74,13600
ABVG,D,20180111,0.0001,0.0002,0.0001,0.0002,12550000
ABWN,D,20180111,2.51,2.97,2.5,2.66,705900
ACAN,D,20180111,3.885,3.99,3.52,3.57,111800
ACAZF,D,20180111,15.11,15.11,15.11,15.11,500
ACBFF,D,20180111,10.32,10.38,9.62,9.75,5395500
ACCA,D,20180111,0.41,0.57,0.41,0.56,15400
ACCR,D,20180111,0.0001,0.0001,0.0001,0.0001,0
ACCYY,D,20180111,10.995,11.04,10.93,11.01,10600
ACDSF,D,20180111,2.096,2.096,2.096,2.096,1000
ACDVF,D,20180111,19,19.047,18.7365,19.03,7200
ACFN,D,20180111,0.2215,0.232,0.2215,0.2299,58400
ACGBF,D,20180111,0.5152,0.5152,0.5151,0.5152,23600
ACGBY,D,20180111,12.695,12.8,12.695,12.7699,25900
ACGI,D,20180111,0.0006,0.0006,0.0006,0.0006,0
ACGPF,D,20180111,28.64,28.64,28.64,28.64,0
ACGX,D,20180111,0.0013,0.0017,0.0012,0.0014,133276200
ACHFF,D,20180111,0.372,0.372,0.372,0.372,2000
ACKAY,D,20180111,27.78,27.78,27.78,27.78,4300
ACKDF,D,20180111,4.81,4.81,4.81,4.81,0
ACKRF,D,20180111,0.0411,0.0411,0.0411,0.0411,0
ACLLF,D,20180111,34.97,34.97,34.97,34.97,0
ACLZ,D,20180111,0.2976,0.315,0.2976,0.3,24700
ACMC,D,20180111,2.72,2.72,2.69,2.69,1600
ACMTA,D,20180111,20.07,20.07,20.07,20.07,0
ACMUY,D,20180111,4.74,4.74,4.74,4.74,0
ACNE,D,20180111,0.02,0.02,0.02,0.02,0
ACNI,D,20180111,0.002,0.002,0.002,0.002,0
ACNNF,D,20180111,1.235,1.27,1.2,1.2499,611700
ACNV,D,20180111,0.0035,0.0035,0.0035,0.0035,10000
ACOL,D,20180111,0.0175,0.018,0.0163,0.0165,7079900
ACOPF,D,20180111,5.72,5.72,5.6,5.6693,7400
ACPGF,D,20180111,0.5057,0.5057,0.4738,0.4738,50000
ACRFF,D,20180111,49,49,49,49,0
ACRL,D,20180111,0.0007,0.0007,0.0006,0.0007,21383200
ACRT,D,20180111,0.2399,0.2399,0.2,0.2399,34000
ACRVF,D,20180111,9.5,9.5,9.5,9.5,0
ACSAF,D,20180111,40.5,40.5,40.5,40.5,0
ACSAY,D,20180111,8.037,8.12,8.01,8.025,116700
ACTL,D,20180111,0.0001,0.0001,0.0001,0.0001,0
ACUIF,D,20180111,1.354,1.354,1.354,1.354,0
ACUR,D,20180111,0.4513,0.5,0.4395,0.5,42200
ACUS,D,20180111,0.01,0.01,0.01,0.01,36600
ACWRF,D,20180111,0.2642,0.2642,0.2604,0.2642,15000
ACXIF,D,20180111,84.2,84.2,84.2,84.2,0
ADAC,D,20180111,0.049,0.049,0.04,0.04,484100
ADAD,D,20180111,0.0364,0.0364,0.0321,0.0321,74400
ADBCF,D,20180111,5.06,5.06,5.06,5.06,0
ADDDF,D,20180111,200,202,200,202,8000
ADDYY,D,20180111,99.98,100.77,99.96,100.585,42000
ADEXF,D,20180111,0.0006,0.0006,0.0006,0.0006,0
ADFS,D,20180111,0.0028,0.0028,0.0028,0.0028,60000
ADFT,D,20180111,1.69,1.69,1.69,1.69,0
