<ticker>,<per>,<date>,<time>,<open>,<high>,<low>,<close>,<vol>
AABB,D,20180123,0.005,0.005,0.005,0.005,0
AABVF,D,20180123,0.1537,0.1537,0.1537,0.1537,63000
AACAF,D,20180123,17.7,17.7,17.41,17.41,1900
AACAY,D,20180123,172.8,176.23,172.25,173.275,5500
AACS,D,20180123,0.0013,0.0013,0.0013,0.0013,0
AACTF,D,20180123,0.2227,0.2227,0.2227,0.2227,5000
AAGC,D,20180123,0.0002,0.0003,0.0002,0.0002,16903000
AAGH,D,20180123,0.005,0.005,0.005,0.005,0
AAGIY,D,20180123,34.69,34.69,33.978,34.44,280200
AAIGF,D,20180123,8.6375,8.6375,8.51,8.51,30700
AAIIQ,D,20180123,0.1,0.1,0.1,0.1,0
AAIR,D,20180123,0.0011,0.0011,0.0011,0.0011,0
AAMAF,D,20180123,2.624,2.624,2.624,2.624,100
AAMTF,D,20180123,0.31,0.345,0.31,0.3434,4600
AAPH,D,20180123,0.0007,0.0007,0.0007,0.0007,0
AAPJ,D,20180123,0.015,0.015,0.015,0.015,0
AAPT,D,20180123,0.0003,0.0004,0.0002,0.0003,25623800
AASP,D,20180123,0.6677,0.6677,0.6677,0.6677,200
AAST,D,20180123,0.005,0.005,0.005,0.005,700
AATDF,D,20180123,2.23,2.27,2.13,2.25,20500
AATRL,D,20180123,63.88,64.125,63.88,64.125,3000
AAUKF,D,20180123,25.15,25.15,25.15,25.15,0
AAVXF,D,20180123,10.95,10.95,10.95,10.95,100
AAWC,D,20180123,0.0014,0.0014,0.0014,0.0014,0
ABAKF,D,20180123,3.6693,3.6693,3.6603,3.6603,20000
ABBB,D,20180123,12.75,12.75,12.75,12.75,0
ABBRF,D,20180123,0.1925,0.1925,0.1925,0.1925,0
ABBY,D,20180123,0.0034,0.0034,0.0034,0.0034,10000
ABCAF,D,20180123,0.121,0.121,0.1207,0.1207,1700
ABCCF,D,20180123,2.45,2.8,2.3599,2.8,2027000
ABCE,D,20180123,0.0025,0.0032,0.0025,0.0031,46000
ABCFF,D,20180123,0.21,0.2114,0.1878,0.2,57700
ABCP,D,20180123,0.375,0.375,0.375,0.375,0
ABCZF,D,20180123,16.64,16.64,16.64,16.64,2600
ABCZY,D,20180123,17.0225,17.0225,17.0225,17.0225,500
ABEPF,D,20180123,0.5156,0.5156,0.5156,0.5156,0
ABGLF,D,20180123,2.65,2.65,2.65,2.65,0
ABGOY,D,20180123,0.33,0.33,0.33,0.33,0
ABHD,D,20180123,0.0145,0.0145,0.0145,0.0145,0
ABLT,D,20180123,445,445,445,445,0
ABLZF,D,20180123,27.765,27.765,27.765,27.765,0
ABMBF,D,20180123,0.052,0.052,0.052,0.052,0
ABMC,D,20180123,0.12,0.12,0.12,0.12,200
ABMT,D,20180123,0.18,0.18,0.18,0.18,0
ABNAF,D,20180123,0.1429,0.1429,0.133,0.133,90500
ABNK,D,20180123,12.92,13,12.901,13,30100
ABNRY,D,20180123,16.843,16.93,16.77,16.93,13200
ABPR,D,20180123,0.0003,0.0003,0.0003,0.0003,1000000
ABRTY,D,20180123,11.39,11.39,11.39,11.39,0
ABSCF,D,20180123,11.46,11.46,11.46,11.46,100
ABSSF,D,20180123,8.25,8.25,8.25,8.25,0
ABVG,D,20180123,0.0002,0.0002,0.0001,0.0001,30781300
ABWN,D,20180123,2.235,2.24,2.15,2.21,98500
ACAN,D,20180123,3.86,3.86,3.75,3.75,43200
ACAZF,D,20180123,15.3182,15.3182,15.3182,15.3182,600
ACBFF,D,20180123,11.66,12.04,10.9953,11.9386,4070600
ACCA,D,20180123,0.491,0.491,0.482,0.482,1400
ACCR,D,20180123,0.0001,0.0001,0.0001,0.0001,0
ACCYY,D,20180123,11.3575,11.4,11.35,11.4,10000
ACDSF,D,20180123,2.12,2.12,2.12,2.12,1000
ACDVF,D,20180123,18.6,18.8023,18.1801,18.727,11100
ACEYY,D,20180123,5,5,5,5,0
ACEZ,D,20180123,0.012,0.012,0.012,0.012,0
ACFN,D,20180123,0.2712,0.29,0.26,0.269,240200
ACGBF,D,20180123,0.59,0.59,0.59,0.59,2000
ACGBY,D,20180123,14.52,14.77,14.52,14.77,9400
ACGI,D,20180123,0.0005,0.0005,0.0005,0.0005,0
ACGPF,D,20180123,29.05,29.05,29.05,29.05,1100
ACGX,D,20180123,0.0014,0.0016,0.0012,0.0012,20125500
ACHFF,D,20180123,0.4193,0.4223,0.4193,0.4223,15400
ACKAY,D,20180123,26.87,26.87,26.87,26.87,0
ACKDF,D,20180123,4.76,4.76,4.76,4.76,500
ACKRF,D,20180123,0.048,0.05,0.048,0.05,20900
ACLLF,D,20180123,35.6,35.6,35.6,35.6,0
ACLZ,D,20180123,0.282,0.2928,0.282,0.282,47900
ACMB,D,20180123,1.5,1.5,1.5,1.5,100
ACMC,D,20180123,2.75,2.75,2.75,2.75,0
ACMTA,D,20180123,20.07,20.07,20.07,20.07,0
ACNDF,D,20180123,0.86,0.86,0.86,0.86,100
