<ticker>,<per>,<date>,<time>,<open>,<high>,<low>,<close>,<vol>
AABVF,D,20180216,0.1332,0.1332,0.1332,0.1332,4000
AACAF,D,20180216,19.22,19.22,19.22,19.22,0
AACAY,D,20180216,198.7,202.49,198,199.545,2500
AACS,D,20180216,0.002,0.002,0.0011,0.0016,391700
AACTF,D,20180216,0.2039,0.2039,0.2039,0.2039,0
AAEEF,D,20180216,0.07,0.07,0.07,0.07,0
AAGC,D,20180216,0.0002,0.0002,0.0002,0.0002,0
AAGH,D,20180216,0.008,0.008,0.007,0.008,83000
AAGIY,D,20180216,32.5,33.08,32.5,32.9,187300
AAIGF,D,20180216,8.24,8.24,8.24,8.24,2300
AAIIQ,D,20180216,0.08,0.08,0.08,0.08,0
AAIR,D,20180216,0.0011,0.0011,0.0011,0.0011,0
AAMAF,D,20180216,2.68,2.68,2.52,2.6,10100
AAMTF,D,20180216,0.5634,0.5634,0.5617,0.5617,2200
AAPH,D,20180216,0.0006,0.0008,0.0006,0.0008,100700
AAPJ,D,20180216,0.0051,0.0051,0.0051,0.0051,0
AAPT,D,20180216,0.0002,0.0003,0.0002,0.0003,3063200
AASP,D,20180216,0.85,0.85,0.85,0.85,0
AAST,D,20180216,0.0042,0.0042,0.0042,0.0042,0
AATDF,D,20180216,1.7,1.71,1.65,1.71,2400
AATRL,D,20180216,62.75,63,62.75,63,4900
AATV,D,20180216,0.301,0.301,0.301,0.301,0
AAUKF,D,20180216,24.89,24.89,24.444,24.89,134400
AAVXF,D,20180216,9.98,9.98,9.92,9.92,300
AAWC,D,20180216,0.0008,0.0008,0.0008,0.0008,0
ABAKF,D,20180216,3.5571,3.5571,3.5571,3.5571,0
ABBB,D,20180216,12,12,12,12,0
ABBRF,D,20180216,0.1536,0.1536,0.1536,0.1536,7500
ABBY,D,20180216,0.0039,0.0039,0.0032,0.0039,88800
ABCAF,D,20180216,0.1,0.1,0.1,0.1,0
ABCCF,D,20180216,1.84,1.89,1.75,1.79,658800
ABCE,D,20180216,0.003,0.003,0.003,0.003,100000
ABCFF,D,20180216,0.19,0.19,0.1695,0.1835,40800
ABCP,D,20180216,0.32,0.324,0.32,0.32,5600
ABCZF,D,20180216,16.7,16.7,16.7,16.7,0
ABCZY,D,20180216,18.25,18.25,18.25,18.25,300
ABEPF,D,20180216,0.4584,0.4584,0.4584,0.4584,100
ABFOF,D,20180216,23.7,23.7,23.7,23.7,0
ABGLF,D,20180216,2.77,2.77,2.77,2.77,0
ABGOF,D,20180216,0.031,0.031,0.031,0.031,0
ABHD,D,20180216,0.0145,0.0145,0.0125,0.0125,28700
ABLT,D,20180216,485,485,485,485,0
ABLZF,D,20180216,25.38,25.38,25.3,25.3,1200
ABMBF,D,20180216,0.06,0.06,0.06,0.06,0
ABMC,D,20180216,0.112,0.112,0.112,0.112,0
ABMT,D,20180216,0.2,0.2,0.2,0.2,0
ABNAF,D,20180216,0.1157,0.1176,0.1157,0.1176,1800
ABNK,D,20180216,13.6,13.6,13.6,13.6,100
ABNRY,D,20180216,15.68,15.75,15.61,15.68,9900
ABRTY,D,20180216,12.15,12.2,12.15,12.2,600
ABSSF,D,20180216,8.07,8.07,8.07,8.07,0
ABTO,D,20180216,0.6,0.7,0.6,0.7,13300
ABVG,D,20180216,0.0003,0.0003,0.0002,0.0003,212047800
ABWN,D,20180216,1.865,2,1.85,1.98,95800
ACAN,D,20180216,2.9595,3.08,2.76,2.855,31600
ACAR,D,20180216,5,5,5,5,100
ACAZF,D,20180216,14.75,14.75,14.75,14.75,0
ACBCQ,D,20180216,0.07,0.07,0.07,0.07,24300
ACBD,D,20180216,1.35,1.35,1.35,1.35,0
ACBFF,D,20180216,8.35,8.503,7.95,8.07,2678700
ACCA,D,20180216,0.72,0.72,0.67,0.7,7000
ACCR,D,20180216,0.0001,0.0001,0.0001,0.0001,0
ACCYY,D,20180216,11.55,11.55,11.4,11.48,20100
ACDSF,D,20180216,1.9,1.9,1.9,1.9,0
ACDVF,D,20180216,20.36,20.36,19.7802,19.9,15700
ACEYY,D,20180216,3.5,3.5,3.5,3.5,0
ACEZ,D,20180216,0.012,0.012,0.012,0.012,0
ACFL,D,20180216,0.51,0.51,0.51,0.51,0
ACFN,D,20180216,0.2549,0.2549,0.2201,0.25,77700
ACGBF,D,20180216,0.5614,0.5614,0.5614,0.5614,0
ACGBY,D,20180216,14.16,14.27,14.1,14.22,5000
ACGI,D,20180216,0.0008,0.0008,0.0008,0.0008,0
ACGPF,D,20180216,26.6,26.6,26.6,26.6,0
ACGX,D,20180216,0.0016,0.0016,0.0014,0.0014,1298000
ACHFF,D,20180216,0.451,0.451,0.451,0.451,1000
ACKAY,D,20180216,25.3,25.3,25.3,25.3,0
ACKDF,D,20180216,4.64,4.64,4.64,4.64,0
ACKRF,D,20180216,0.0411,0.0411,0.0411,0.0411,700
ACLLF,D,20180216,35.065,35.065,35.065,35.065,0
ACLZ,D,20180216,0.35,0.3596,0.35,0.3596,15500
ACMB,D,20180216,2.89,2.89,2.89,2.89,0
ACMC,D,20180216,2.52,2.52,2.52,2.52,100
ACMTA,D,20180216,20.18,20.18,20.18,20.18,1800
ACNDF,D,20180216,0.785,0.785,0.785,0.785,0
ACNFF,D,20180216,29.25,29.25,29.25,29.25,0
ACNI,D,20180216,0.0025,0.0025,0.0025,0.0025,0
ACNNF,D,20180216,1.26,1.265,1.22,1.25,53500
ACNV,D,20180216,0.0026,0.0026,0.0026,0.0026,2500
ACOL,D,20180216,0.012,0.0125,0.011,0.0114,8356400
ACOPF,D,20180216,6.944,6.944,6.764,6.764,4000
ACPGF,D,20180216,0.4883,0.4883,0.4883,0.4883,0
ACRB,D,20180216,0.0014,0.0014,0.0014,0.0014,0
ACRFF,D,20180216,57.25,57.25,57.25,57.25,0
ACRL,D,20180216,0.0006,0.0009,0.0006,0.0008,17161800
ACRT,D,20180216,0.22,0.2206,0.22,0.2206,4300
ACSAF,D,20180216,36.75,36.75,36.75,36.75,0
ACSAY,D,20180216,7.0998,7.17,7.06,7.11,105300
ACSSF,D,20180216,4.5249,4.5249,4.5249,4.5249,0
ACTA,D,20180216,0.8199,0.85,0.8199,0.85,367100
