<ticker>,<per>,<date>,<time>,<open>,<high>,<low>,<close>,<vol>
AACAY,D,20180522,15.17,15.28,15.1,15.13,24100
AAGC,D,20180522,0.0013,0.0016,0.0011,0.0016,104203700
AAGH,D,20180522,0.012,0.012,0.012,0.012,69900
AAGIY,D,20180522,37.83,38,37.5,37.525,176200
AAIGF,D,20180522,9.522,9.57,9.522,9.57,3500
AANR,D,20180522,27.75,27.75,27.25,27.25,1600
AAPH,D,20180522,0.0006,0.0006,0.0005,0.0006,211000
AAST,D,20180522,0.0082,0.0139,0.0082,0.0139,17000
AATDF,D,20180522,1.8,1.8,1.8,1.8,10400
AATRL,D,20180522,61.6,61.6,61.6,61.6,2600
AAUKF,D,20180522,26.05,26.05,25.8,25.8,900
ABBRF,D,20180522,0.139,0.139,0.139,0.139,1000
ABBY,D,20180522,0.004,0.0054,0.004,0.0054,287600
ABCCF,D,20180522,1.26,1.26,1.2,1.228,192600
ABCE,D,20180522,0.003,0.0031,0.0022,0.0028,6876900
ABCFF,D,20180522,0.18,0.1819,0.17,0.17,6900
ABCP,D,20180522,0.54,0.5825,0.54,0.5825,8900
ABCZF,D,20180522,16.515,16.68,16.515,16.68,2100
ABEPF,D,20180522,0.3279,0.3535,0.3279,0.3535,600
ABHD,D,20180522,0.009,0.0115,0.009,0.0115,10000
ABMC,D,20180522,0.09,0.09,0.09,0.09,1000
ABMT,D,20180522,0.51,0.51,0.51,0.51,6800
ABNAF,D,20180522,0.173,0.185,0.1646,0.1646,29100
ABNRY,D,20180522,14.41,14.46,14.358,14.375,50300
ABPA,D,20180522,0.0069,0.0069,0.0069,0.0069,40000
ABPR,D,20180522,0.0003,0.0003,0.0003,0.0003,1743500
ABRTY,D,20180522,10.6,10.6,10.57,10.57,1100
ABSSF,D,20180522,10.928,10.928,10.928,10.928,300
ABVG,D,20180522,0.0001,0.0001,0.0001,0.0001,200000
ABVN,D,20180522,0.51,0.51,0.5,0.51,6200
ABWN,D,20180522,0.585,0.6,0.5,0.52,273400
ACAN,D,20180522,4.585,4.7,4.23,4.43,154100
ACAZF,D,20180522,15.65,15.65,15.5,15.5397,2100
ACBD,D,20180522,2.15,2.15,2.15,2.15,100
ACBFF,D,20180522,6.565,6.8,6.36,6.53,2212100
ACBM,D,20180522,3.04,3.04,3.04,3.04,1400
ACCA,D,20180522,0.285,0.3479,0.285,0.3397,3100
ACCR,D,20180522,0.0001,0.0001,0.0001,0.0001,1500
ACCYY,D,20180522,11.42,11.45,11.255,11.38,15500
ACDVF,D,20180522,19.01,19.01,18.7253,18.7253,2200
ACFN,D,20180522,0.35,0.35,0.3453,0.3453,53700
ACGBY,D,20180522,13.5,13.5,13.335,13.335,13800
ACGX,D,20180522,0.0011,0.0014,0.001,0.0013,71422100
ACHFF,D,20180522,0.7109,0.7474,0.7031,0.7469,12500
ACLLF,D,20180522,30.3,30.31,30.3,30.31,2200
ACLZ,D,20180522,0.32,0.32,0.31,0.315,15500
ACMC,D,20180522,2.45,2.45,2.45,2.45,500
ACMT,D,20180522,21.15,21.15,21.15,21.15,1000
ACMTA,D,20180522,20.22,20.22,20.21,20.21,1800
ACNI,D,20180522,0.0018,0.0018,0.0018,0.0018,1000
ACNNF,D,20180522,1.145,1.145,1.13,1.14,19000
ACOL,D,20180522,0.0113,0.0117,0.0103,0.0108,3232700
ACOPF,D,20180522,7.567,7.567,7.33,7.33,37800
ACRL,D,20180522,0.0005,0.0006,0.0005,0.0005,2488600
ACRT,D,20180522,0.24,0.24,0.1651,0.1651,22500
ACSAY,D,20180522,8.682,8.73,8.65,8.6538,41400
ACUIF,D,20180522,0.5414,0.5414,0.5352,0.5352,45000
ACUR,D,20180522,0.435,0.435,0.435,0.435,400
ACUS,D,20180522,0.04,0.04,0.04,0.04,2100
ADAC,D,20180522,0.013,0.0135,0.0124,0.0125,2089400
ADAD,D,20180522,0.0302,0.035,0.0302,0.035,29900
ADDDF,D,20180522,226.98,232.81,226.98,232,500
ADDYY,D,20180522,115.47,115.83,114.97,115.04,27300
ADENF,D,20180522,0.2868,0.2868,0.2868,0.2868,1000
ADFS,D,20180522,0.02,0.02,0.016,0.017,437700
ADGO,D,20180522,2.3,2.42,2.195,2.355,122500
ADHC,D,20180522,0.0046,0.0046,0.0031,0.0034,19532000
ADKT,D,20180522,1680,1680,1680,1680,100
ADMT,D,20180522,0.185,0.1875,0.18,0.18,78600
ADRNY,D,20180522,23.26,23.4824,23.26,23.385,63300
ADSV,D,20180522,0.0005,0.0005,0.0003,0.0004,451900
ADTM,D,20180522,0.0005,0.0005,0.0004,0.0004,63797200
ADVT,D,20180522,0.0398,0.041,0.0356,0.0384,534900
ADVV,D,20180522,2.37,2.37,2.37,2.37,200
ADWPF,D,20180522,14.1923,14.1923,14.1923,14.1923,200
AEEX,D,20180522,4.83,4.83,4.83,4.83,1000
AEMC,D,20180522,0.2,0.2,0.079,0.079,600
AEPT,D,20180522,0.0085,0.0085,0.006,0.007,154300
AERG,D,20180522,0.152,0.152,0.13,0.14,168200
AERO,D,20180522,2.44,2.44,2.35,2.35,4900
AERS,D,20180522,0.009,0.009,0.0068,0.009,48000
AETUF,D,20180522,11,11.48,10.99,11.0047,31600
AEXAY,D,20180522,27.13,27.25,27.0575,27.18,14800
AEXE,D,20180522,0.0008,0.0008,0.0006,0.0007,2392800
AEYE,D,20180522,0.21,0.217,0.208,0.21,161000
AFFY,D,20180522,0.015,0.016,0.015,0.016,20200
AFGC,D,20180522,1.5,1.5,1,1,1300
AFLYY,D,20180522,8.68,8.74,8.65,8.69,18200
AFOM,D,20180522,0.11,0.16,0.0859,0.1251,425300
AFPW,D,20180522,0.0001,0.0001,0.0001,0.0001,5000000
AFRAF,D,20180522,8.5,8.5,8.5,8.5,5100
AFTC,D,20180522,0.0006,0.0008,0.0006,0.0007,5537600
AFTM,D,20180522,0.0631,0.0689,0.062,0.062,244500
AFYG,D,20180522,0.016,0.02,0.016,0.02,3900
AGCBF,D,20180522,0.173,0.1776,0.173,0.1776,5100
AGCCF,D,20180522,0.1,0.1,0.1,0.1,5000
AGCZ,D,20180522,0.0095,0.0095,0.0095,0.0095,2000
AGDY,D,20180522,0.065,0.065,0.06,0.06,51500
AGESY,D,20180522,53.98,53.98,53.7,53.73,6300
AGHI,D,20180522,0.18,0.18,0.1505,0.18,12900
AGIN,D,20180522,0.0055,0.0056,0.0055,0.0055,17500
AGLNF,D,20180522,16.25,16.25,16.25,16.25,500
AGLNY,D,20180522,16.24,16.39,16.24,16.39,600
AGNU,D,20180522,0.0701,0.095,0.0701,0.095,10100
AGPDY,D,20180522,16.13,16.13,16.13,16.13,200
AGRPY,D,20180522,26.17,26.37,26.17,26.37,900
AGTEF,D,20180522,0.1119,0.1119,0.1119,0.1119,2000
AGTK,D,20180522,0.016,0.0175,0.0154,0.016,6793800
AGUNF,D,20180522,0.043,0.043,0.043,0.043,500100
AGXKF,D,20180522,0.6401,0.6401,0.6401,0.6401,6000
AGXXF,D,20180522,13.1405,13.1405,13.1,13.1,600
AGYP,D,20180522,0.0055,0.0055,0.0055,0.0055,20000
AHAG,D,20180522,0.019,0.019,0.0027,0.0027,7500
AHCHF,D,20180522,6.305,6.305,6.21,6.21,600
AHCHY,D,20180522,31.485,31.97,31.485,31.873,7100
AHCP,D,20180522,0.06,0.06,0.05,0.05,26000
AHELF,D,20180522,0.5664,0.5749,0.5477,0.5749,13100
AHEXY,D,20180522,32.17,32.25,32.09,32.125,30000
AHFD,D,20180522,0.0002,0.0002,0.0002,0.0002,1000000
